Entidad federativa,Nivel educativo,Ciclo escolar,Tasa de Deserción
Sonora,Superior,2020/2021,13.9
Tabasco,Primaria,2020/2021,0.9
Tabasco,Secundaria,2020/2021,2.0
Tabasco,Media superior,2020/2021,10.1
Tabasco,Superior,2020/2021,7.9
Tamaulipas,Primaria,2020/2021,0.2
Tamaulipas,Secundaria,2020/2021,2.2
Tamaulipas,Media superior,2020/2021,14.8
Tamaulipas,Superior,2020/2021,10.6
Tlaxcala,Primaria,2020/2021,0.9
Tlaxcala,Secundaria,2020/2021,2.8
Tlaxcala,Media superior,2020/2021,10.7
Tlaxcala,Superior,2020/2021,9.7
Veracruz,Primaria,2020/2021,1.4
Veracruz,Secundaria,2020/2021,4.4
Veracruz,Media superior,2020/2021,10.7
Veracruz,Superior,2020/2021,13.4
Yucatán,Primaria,2020/2021,-2.0
Yucatán,Secundaria,2020/2021,-0.9
Yucatán,Media superior,2020/2021,11.3
Yucatán,Superior,2020/2021,6.3
Zacatecas,Primaria,2020/2021,0.8
Zacatecas,Secundaria,2020/2021,4.7
Zacatecas,Media superior,2020/2021,14.9
Zacatecas,Superior,2020/2021,15.2
Aguascalientes,Primaria,2021/2022,0.4
Aguascalientes,Secundaria,2021/2022,4.6
Aguascalientes,Media superior,2021/2022,8.3
Aguascalientes,Superior,2021/2022,10.3
Baja California,Primaria,2021/2022,-0.4
Baja California,Secundaria,2021/2022,2.9
Baja California,Media superior,2021/2022,11.2
Baja California,Superior,2021/2022,8.7
Baja California Sur,Primaria,2021/2022,-0.5
Baja California Sur,Secundaria,2021/2022,1.7
Baja California Sur,Media superior,2021/2022,13.6
